id,description,code,md5,foxdog,hexdigits,lorem,punctuation,zebra
11,"remove all instances of the letter e from the string then delete all excamation points, question marks, and periods from the string","def process(s):
    s =  s.replace(""e"", """")
    s =  """".join([x for x in s if x not in "".!?""])",ebff1d779aa98439b4dfeb1c5f58248c,Th quick brown fox jumps ovr a lazy dog,0123456789abcdfABCDEF,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum","""#$%&'()*+,-/:;<=>@[\]^_`{|}~",How quickly daft jumping zbras vx
12,replace all spaces with exclamation points in the string then convert the string s to lowercase,"def process(s):
    s =  s.replace("" "", ""!"")
    s =  s.lower()",0241891df6d4dfa2118bdd343aaba318,the!quick!brown!fox!jumps!over!a!lazy!dog!,0123456789abcdefabcdef,"lorem!ipsum!dolor!sit!amet,!consectetur!adipiscing!elit,!sed!do!eiusmod!tempor!incididunt!ut!labore!et!dolore!magna!aliqua.!ut!enim!ad!minim!veniam,!quis!nostrud!exercitation!ullamco!laboris!nisi!ut!aliquip!ex!ea!commodo!consequat.!duis!aute!irure!dolor!in!reprehenderit!in!voluptate!velit!esse!cillum!dolore!eu!fugiat!nulla!pariatur.!excepteur!sint!occaecat!cupidatat!non!proident,!sunt!in!culpa!qui!officia!deserunt!mollit!anim!id!est!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",how!quickly!daft!jumping!zebras!vex!
13,replace all spaces with exclamation points in the string then remove the first and last two characters of the string,"def process(s):
    s =  s.replace("" "", ""!"")
    s =  s[2:-2]",1af8bab1c97b12875bd1b7765b6b246d,e!quick!brown!fox!jumps!over!a!lazy!do,23456789abcdefABCD,"rem!ipsum!dolor!sit!amet,!consectetur!adipiscing!elit,!sed!do!eiusmod!tempor!incididunt!ut!labore!et!dolore!magna!aliqua.!Ut!enim!ad!minim!veniam,!quis!nostrud!exercitation!ullamco!laboris!nisi!ut!aliquip!ex!ea!commodo!consequat.!Duis!aute!irure!dolor!in!reprehenderit!in!voluptate!velit!esse!cillum!dolore!eu!fugiat!nulla!pariatur.!Excepteur!sint!occaecat!cupidatat!non!proident,!sunt!in!culpa!qui!officia!deserunt!mollit!anim!id!est!laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",w!quickly!daft!jumping!zebras!ve
14,replace all spaces with exclamation points in the string then removes all vowels from the string,"def process(s):
    s =  s.replace("" "", ""!"")
    s =  """".join(char for char in s if char not in ""aeiouAEIOU"")",60fe4ec4df9e014f367c43f932c51f28,Th!qck!brwn!fx!jmps!vr!!lzy!dg!,0123456789bcdfBCDF,"Lrm!psm!dlr!st!mt,!cnscttr!dpscng!lt,!sd!d!smd!tmpr!ncddnt!t!lbr!t!dlr!mgn!lq.!t!nm!d!mnm!vnm,!qs!nstrd!xrcttn!llmc!lbrs!ns!t!lqp!x!!cmmd!cnsqt.!Ds!t!rr!dlr!n!rprhndrt!n!vlptt!vlt!ss!cllm!dlr!!fgt!nll!prtr.!xcptr!snt!ccct!cpdtt!nn!prdnt,!snt!n!clp!q!ffc!dsrnt!mllt!nm!d!st!lbrm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",Hw!qckly!dft!jmpng!zbrs!vx!
15,replace all spaces with exclamation points in the string then remove every third character from the string,"def process(s):
    s =  s.replace("" "", ""!"")
    s =  """".join(char for i, char in enumerate(s) if i % 3 != 0)",73038eef1efa785545e92449eecc5345,hequckbrwnfo!jmp!oera!az!dg!,124578abdeABDE,"orm!psm!olr!itamt,coseteuradpicig!li,!eddoeismd!emoriniddut!t!abreetdoor!mgn!aiqa.Utenm!d!inm!enam!qisnotrd!xeciatonulamo!abri!nsiutalqup!x!a!omod!cnsqut.Dus!ut!iur!dlo!i!rprhedeitinvoupat!vli!esecilu!dloe!u!ugatnulapaiaur!Eceter!in!ocaca!cpiatt!onpridnt!sntincupaqu!ofiiadeerntmoli!aimides!lboum","""#%&()+,./;<>?[\^_{|~",owqucky!af!jmpngzera!vx!
16,"replace all spaces with exclamation points in the string then drop the last half of the string, as computed by characters","def process(s):
    s =  s.replace("" "", ""!"")
    s =  s[: len(s) // 2]",e70baf6c2e7366957851152184d05c5b,The!quick!brown!fox!j,0123456789a,"Lorem!ipsum!dolor!sit!amet,!consectetur!adipiscing!elit,!sed!do!eiusmod!tempor!incididunt!ut!labore!et!dolore!magna!aliqua.!Ut!enim!ad!minim!veniam,!quis!nostrud!exercitation!ullamco!laboris!nisi!ut!aliquip!ex!ea!commodo!c","!""#$%&'()*+,-./:",How!quickly!daft!j
17,replace all spaces with exclamation points in the string then reverse the order of words in the string,"def process(s):
    s =  s.replace("" "", ""!"")
    s =  "" "".join(s.split()[::-1])",72ecb316460891a87018de4de2b5b603,The!quick!brown!fox!jumps!over!a!lazy!dog!,0123456789abcdefABCDEF,"Lorem!ipsum!dolor!sit!amet,!consectetur!adipiscing!elit,!sed!do!eiusmod!tempor!incididunt!ut!labore!et!dolore!magna!aliqua.!Ut!enim!ad!minim!veniam,!quis!nostrud!exercitation!ullamco!laboris!nisi!ut!aliquip!ex!ea!commodo!consequat.!Duis!aute!irure!dolor!in!reprehenderit!in!voluptate!velit!esse!cillum!dolore!eu!fugiat!nulla!pariatur.!Excepteur!sint!occaecat!cupidatat!non!proident,!sunt!in!culpa!qui!officia!deserunt!mollit!anim!id!est!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How!quickly!daft!jumping!zebras!vex!
18,replace all spaces with exclamation points in the string then add the word apples after every word in the string,"def process(s):
    s =  s.replace("" "", ""!"")
    s =  "" "".join(word + "" apples"" for word in s.split())",fb337de51a47b9d318db10a837f2ec68,The!quick!brown!fox!jumps!over!a!lazy!dog! apples,0123456789abcdefABCDEF apples,"Lorem!ipsum!dolor!sit!amet,!consectetur!adipiscing!elit,!sed!do!eiusmod!tempor!incididunt!ut!labore!et!dolore!magna!aliqua.!Ut!enim!ad!minim!veniam,!quis!nostrud!exercitation!ullamco!laboris!nisi!ut!aliquip!ex!ea!commodo!consequat.!Duis!aute!irure!dolor!in!reprehenderit!in!voluptate!velit!esse!cillum!dolore!eu!fugiat!nulla!pariatur.!Excepteur!sint!occaecat!cupidatat!non!proident,!sunt!in!culpa!qui!officia!deserunt!mollit!anim!id!est!laborum? apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",How!quickly!daft!jumping!zebras!vex! apples
19,replace all spaces with exclamation points in the string then make every other character in the string uppercase,"def process(s):
    s =  s.replace("" "", ""!"")
    s =  """".join(char.upper() if i % 2 == 0 else char for i, char in enumerate(s))",93c2d490f52ff625a64157f91bd451ff,ThE!QuIcK!BrOwN!FoX!JuMpS!OvEr!a!lAzY!DoG!,0123456789AbCdEfABCDEF,"LoReM!IpSuM!DoLoR!SiT!AmEt,!CoNsEcTeTuR!AdIpIsCiNg!eLiT,!sEd!dO!EiUsMoD!TeMpOr!iNcIdIdUnT!Ut!lAbOrE!Et!dOlOrE!MaGnA!AlIqUa.!Ut!eNiM!Ad!mInIm!vEnIaM,!qUiS!NoStRuD!ExErCiTaTiOn!uLlAmCo!lAbOrIs!nIsI!Ut!aLiQuIp!eX!Ea!cOmMoDo!cOnSeQuAt.!DuIs!aUtE!IrUrE!DoLoR!In!rEpReHeNdErIt!iN!VoLuPtAtE!VeLiT!EsSe!cIlLuM!DoLoRe!eU!FuGiAt!nUlLa!pArIaTuR.!EXcEpTeUr!sInT!OcCaEcAt!cUpIdAtAt!nOn!pRoIdEnT,!sUnT!In!cUlPa!qUi!oFfIcIa!dEsErUnT!MoLlIt!aNiM!Id!eSt!lAbOrUm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",HoW!QuIcKlY!DaFt!jUmPiNg!zEbRaS!VeX!
20,"replace all spaces with exclamation points in the string then delete all excamation points, question marks, and periods from the string","def process(s):
    s =  s.replace("" "", ""!"")
    s =  """".join([x for x in s if x not in "".!?""])",26b494f81533d028e1f8390011e1e894,Thequickbrownfoxjumpsoveralazydog,0123456789abcdefABCDEF,"Loremipsumdolorsitamet,consecteturadipiscingelit,seddoeiusmodtemporincididuntutlaboreetdoloremagnaaliquaUtenimadminimveniam,quisnostrudexercitationullamcolaborisnisiutaliquipexeacommodoconsequatDuisauteiruredolorinreprehenderitinvoluptatevelitessecillumdoloreeufugiatnullapariaturExcepteursintoccaecatcupidatatnonproident,suntinculpaquiofficiadeseruntmollitanimidestlaborum","""#$%&'()*+,-/:;<=>@[\]^_`{|}~",Howquicklydaftjumpingzebrasvex
21,convert the string s to lowercase then remove all instances of the letter e from the string,"def process(s):
    s =  s.lower()
    s =  s.replace(""e"", """")",80401b9807f31d4f5fd56e5d5a176997,th quick brown fox jumps ovr a lazy dog!,0123456789abcdfabcdf,"lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. xcptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",how quickly daft jumping zbras vx!
22,convert the string s to lowercase then remove the first and last two characters of the string,"def process(s):
    s =  s.lower()
    s =  s[2:-2]",2c8239c067ed8d29d0a726b91ff4bba4,e quick brown fox jumps over a lazy do,23456789abcdefabcd,"rem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",w quickly daft jumping zebras ve
23,convert the string s to lowercase then removes all vowels from the string,"def process(s):
    s =  s.lower()
    s =  """".join(char for char in s if char not in ""aeiouAEIOU"")",8a48888ec58416d04e2185f82cc73775,th qck brwn fx jmps vr  lzy dg!,0123456789bcdfbcdf,"lrm psm dlr st mt, cnscttr dpscng lt, sd d smd tmpr ncddnt t lbr t dlr mgn lq. t nm d mnm vnm, qs nstrd xrcttn llmc lbrs ns t lqp x  cmmd cnsqt. ds t rr dlr n rprhndrt n vlptt vlt ss cllm dlr  fgt nll prtr. xcptr snt ccct cpdtt nn prdnt, snt n clp q ffc dsrnt mllt nm d st lbrm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",hw qckly dft jmpng zbrs vx!
24,convert the string s to lowercase then remove every third character from the string,"def process(s):
    s =  s.lower()
    s =  """".join(char for i, char in enumerate(s) if i % 3 != 0)",308dca91eb0d86686143e4bbdec823e4,hequckbrwnfo jmp oera az dg!,124578abdeabde,"orm psm olr itamt,coseteuradpicig li, eddoeismd emoriniddut t abreetdoor mgn aiqa.utenm d inm enam qisnotrd xeciatonulamo abri nsiutalqup x a omod cnsqut.dus ut iur dlo i rprhedeitinvoupat vli esecilu dloe u ugatnulapaiaur eceter in ocaca cpiatt onpridnt sntincupaqu ofiiadeerntmoli aimides lboum","""#%&()+,./;<>?[\^_{|~",owqucky af jmpngzera vx!
25,"convert the string s to lowercase then drop the last half of the string, as computed by characters","def process(s):
    s =  s.lower()
    s =  s[: len(s) // 2]",b800ebfec18d3d51e82f5f19a1412f0a,the quick brown fox j,0123456789a,"lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo c","!""#$%&'()*+,-./:",how quickly daft j
26,convert the string s to lowercase then replace spaces with triple spaces,"def process(s):
    s =  s.lower()
    s =  s.replace("" "", ""   "")",26b3c17f48e8a791ba97c327e61bce7b,the   quick   brown   fox   jumps   over   a   lazy   dog!,0123456789abcdefabcdef,"lorem   ipsum   dolor   sit   amet,   consectetur   adipiscing   elit,   sed   do   eiusmod   tempor   incididunt   ut   labore   et   dolore   magna   aliqua.   ut   enim   ad   minim   veniam,   quis   nostrud   exercitation   ullamco   laboris   nisi   ut   aliquip   ex   ea   commodo   consequat.   duis   aute   irure   dolor   in   reprehenderit   in   voluptate   velit   esse   cillum   dolore   eu   fugiat   nulla   pariatur.   excepteur   sint   occaecat   cupidatat   non   proident,   sunt   in   culpa   qui   officia   deserunt   mollit   anim   id   est   laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",how   quickly   daft   jumping   zebras   vex!
27,convert the string s to lowercase then reverse the order of words in the string,"def process(s):
    s =  s.lower()
    s =  "" "".join(s.split()[::-1])",f58c47396ff8327430c24f483f5018f9,dog! lazy a over jumps fox brown quick the,0123456789abcdefabcdef,"laborum? est id anim mollit deserunt officia qui culpa in sunt proident, non cupidatat occaecat sint excepteur pariatur. nulla fugiat eu dolore cillum esse velit voluptate in reprehenderit in dolor irure aute duis consequat. commodo ea ex aliquip ut nisi laboris ullamco exercitation nostrud quis veniam, minim ad enim ut aliqua. magna dolore et labore ut incididunt tempor eiusmod do sed elit, adipiscing consectetur amet, sit dolor ipsum lorem","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",vex! zebras jumping daft quickly how
28,"convert the string s to lowercase then drop the first half of the string, as computed by number of words","def process(s):
    s =  s.lower()
    s =  "" "".join(s.split()[len(s.split ()) // 2 :])),",25a3d4e7528297e78a839e778c2d3739,jumps over a lazy dog!,0123456789abcdefabcdef,"commodo consequat. duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",jumping zebras vex!
29,convert the string s to lowercase then add the word apples after every word in the string,"def process(s):
    s =  s.lower()
    s =  "" "".join(word + "" apples"" for word in s.split())",d7547cb809c9e9751f7a89fd5c9a6d88,the apples quick apples brown apples fox apples jumps apples over apples a apples lazy apples dog! apples,0123456789abcdefabcdef apples,"lorem apples ipsum apples dolor apples sit apples amet, apples consectetur apples adipiscing apples elit, apples sed apples do apples eiusmod apples tempor apples incididunt apples ut apples labore apples et apples dolore apples magna apples aliqua. apples ut apples enim apples ad apples minim apples veniam, apples quis apples nostrud apples exercitation apples ullamco apples laboris apples nisi apples ut apples aliquip apples ex apples ea apples commodo apples consequat. apples duis apples aute apples irure apples dolor apples in apples reprehenderit apples in apples voluptate apples velit apples esse apples cillum apples dolore apples eu apples fugiat apples nulla apples pariatur. apples excepteur apples sint apples occaecat apples cupidatat apples non apples proident, apples sunt apples in apples culpa apples qui apples officia apples deserunt apples mollit apples anim apples id apples est apples laborum? apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",how apples quickly apples daft apples jumping apples zebras apples vex! apples
30,convert the string s to lowercase then make every other character in the string uppercase,"def process(s):
    s =  s.lower()
    s =  """".join(char.upper() if i % 2 == 0 else char for i, char in enumerate(s))",a39568c1b267b6e0b8d6e9d8315c2f86,ThE QuIcK BrOwN FoX JuMpS OvEr a lAzY DoG!,0123456789AbCdEfAbCdEf,"LoReM IpSuM DoLoR SiT AmEt, CoNsEcTeTuR AdIpIsCiNg eLiT, sEd dO EiUsMoD TeMpOr iNcIdIdUnT Ut lAbOrE Et dOlOrE MaGnA AlIqUa. Ut eNiM Ad mInIm vEnIaM, qUiS NoStRuD ExErCiTaTiOn uLlAmCo lAbOrIs nIsI Ut aLiQuIp eX Ea cOmMoDo cOnSeQuAt. DuIs aUtE IrUrE DoLoR In rEpReHeNdErIt iN VoLuPtAtE VeLiT EsSe cIlLuM DoLoRe eU FuGiAt nUlLa pArIaTuR. eXcEpTeUr sInT OcCaEcAt cUpIdAtAt nOn pRoIdEnT, sUnT In cUlPa qUi oFfIcIa dEsErUnT MoLlIt aNiM Id eSt lAbOrUm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",HoW QuIcKlY DaFt jUmPiNg zEbRaS VeX!
31,"convert the string s to lowercase then delete all excamation points, question marks, and periods from the string","def process(s):
    s =  s.lower()
    s =  """".join([x for x in s if x not in "".!?""])",7536e3a2a458a0fb8848f17c6c58476c,the quick brown fox jumps over a lazy dog,0123456789abcdefabcdef,"lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum","""#$%&'()*+,-/:;<=>@[\]^_`{|}~",how quickly daft jumping zebras vex
32,remove the first and last two characters of the string then removes all vowels from the string,"def process(s):
    s =  s[2:-2]
    s =  """".join(char for char in s if char not in ""aeiouAEIOU"")",69d62c2908042c9df86485f8f7fd23e9, qck brwn fx jmps vr  lzy d,23456789bcdfBCD,"rm psm dlr st mt, cnscttr dpscng lt, sd d smd tmpr ncddnt t lbr t dlr mgn lq. t nm d mnm vnm, qs nstrd xrcttn llmc lbrs ns t lqp x  cmmd cnsqt. Ds t rr dlr n rprhndrt n vlptt vlt ss cllm dlr  fgt nll prtr. xcptr snt ccct cpdtt nn prdnt, snt n clp q ffc dsrnt mllt nm d st lbr","#$%&'()*+,-./:;<=>?@[\]^_`{|",w qckly dft jmpng zbrs v
33,remove the first and last two characters of the string then remove every third character from the string,"def process(s):
    s =  s[2:-2]
    s =  """".join(char for i, char in enumerate(s) if i % 3 != 0)",eae491000758aafc7b49c91752a1abb5, qic bow fx ums ve alay o,34679acdfACD,"emipumdoorsi aet cnscttu aipscngelt,se d eusodtepo iciidntutlaor e dloe aga liua U eimadmiimveia, ui nstudexrctaio ulacolaors is u aiqipexeacomoo oneqat Disaue rue olr n epehndri i vlutae elt ss cllm olreeufuia nll pritu. xcptursit ccect updaatno poien, un i clp qi ffci dseun mllt ni i et abru",$%'(*+-.:;=>@[]^`{, qiclydat umin zbrs e
34,"remove the first and last two characters of the string then drop the last half of the string, as computed by characters","def process(s):
    s =  s[2:-2]
    s =  s[: len(s) // 2]",5e01c41636cfc04544fd16d10678df0e,e quick brown fox j,23456789a,"rem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo c","#$%&'()*+,-./:",w quickly daft j
35,remove the first and last two characters of the string then replace spaces with triple spaces,"def process(s):
    s =  s[2:-2]
    s =  s.replace("" "", ""   "")",d7e765a40c38a34f3542879854dce1da,e   quick   brown   fox   jumps   over   a   lazy   do,23456789abcdefABCD,"rem   ipsum   dolor   sit   amet,   consectetur   adipiscing   elit,   sed   do   eiusmod   tempor   incididunt   ut   labore   et   dolore   magna   aliqua.   Ut   enim   ad   minim   veniam,   quis   nostrud   exercitation   ullamco   laboris   nisi   ut   aliquip   ex   ea   commodo   consequat.   Duis   aute   irure   dolor   in   reprehenderit   in   voluptate   velit   esse   cillum   dolore   eu   fugiat   nulla   pariatur.   Excepteur   sint   occaecat   cupidatat   non   proident,   sunt   in   culpa   qui   officia   deserunt   mollit   anim   id   est   laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",w   quickly   daft   jumping   zebras   ve
